epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.0559,0.55055,0.82951,1,0.42908,0.000543319,0.000543319,0.000543319
2,94.2336,0.29977,0.94426,1,0.19751,0.00106272,0.00106272,0.00106272
3,140.462,0.3145,0.78033,1,0.48019,0.00154544,0.00154544,0.00154544
4,187.019,0.39795,0.72787,1,0.84159,0.00150197,0.00150197,0.00150197
5,235.066,0.29714,0.96066,1,0.111,0.00144696,0.00144696,0.00144696
6,281.685,0.19092,0.96066,1,0.12098,0.00139195,0.00139195,0.00139195
7,328.666,0.23251,0.9082,1,0.27571,0.00133693,0.00133693,0.00133693
8,375.4,0.18671,0.96393,1,0.09182,0.00128192,0.00128192,0.00128192
9,423.402,0.16503,0.94426,1,0.21935,0.00122691,0.00122691,0.00122691
10,469.884,0.17115,0.93115,1,0.19497,0.0011719,0.0011719,0.0011719
11,516.693,0.13023,0.94426,1,0.13505,0.00111689,0.00111689,0.00111689
12,563.582,0.1315,0.96393,1,0.1776,0.00106188,0.00106188,0.00106188
13,610.123,0.16192,0.91148,1,0.39225,0.00100687,0.00100687,0.00100687
14,656.986,0.15487,0.95082,1,0.14193,0.000951857,0.000951857,0.000951857
15,703.851,0.11892,0.97049,1,0.08309,0.000896846,0.000896846,0.000896846
16,751.645,0.12882,0.97049,1,0.06574,0.000841835,0.000841835,0.000841835
17,799.097,0.08854,0.98033,1,0.06198,0.000786824,0.000786824,0.000786824
18,848.312,0.09776,0.96721,1,0.10751,0.000731813,0.000731813,0.000731813
19,895.355,0.09743,0.97049,1,0.08079,0.000676802,0.000676802,0.000676802
20,942.295,0.07249,0.98033,1,0.03737,0.000621791,0.000621791,0.000621791
21,989.533,0.07888,0.98033,1,0.05093,0.00056678,0.00056678,0.00056678
22,1036.66,0.0797,0.98361,1,0.07558,0.000511769,0.000511769,0.000511769
23,1084,0.05288,0.97377,1,0.11028,0.000456758,0.000456758,0.000456758
24,1131.01,0.06103,0.98033,1,0.048,0.000401747,0.000401747,0.000401747
25,1178,0.08692,0.98361,1,0.03851,0.000346736,0.000346736,0.000346736
26,1225.15,0.04338,0.98033,1,0.06164,0.000291725,0.000291725,0.000291725
27,1273.08,0.06936,0.98033,1,0.04003,0.000236714,0.000236714,0.000236714
28,1320.49,0.04476,0.97705,1,0.05818,0.000181703,0.000181703,0.000181703
29,1367.89,0.04374,0.97705,1,0.06979,0.000126692,0.000126692,0.000126692
30,1416.46,0.04522,0.98033,1,0.08148,7.1681e-05,7.1681e-05,7.1681e-05
