model,accuracy,precision,recall,f1,fps
yolo11n-cls,0.9738562091503268,0.9747003424657534,0.973726930963773,0.973838327704869,144.27691832773147
yolo26n-cls,0.9738562091503268,0.9747003424657534,0.973726930963773,0.973838327704869,145.90224775803986
ResNet-18,0.9150326797385621,0.9198529411764707,0.9146872863978127,0.9147376543209876,140.23821915949284
ResNet-34,0.8954248366013072,0.9012061784102742,0.8950358851674641,0.894976189454717,89.79584689919893
ResNet-50,0.8758169934640523,0.8934139784946236,0.8751281613123718,0.8742647058823529,55.592719025055054
